NTA_split,Total Savings,Job created
Battery Park City,469890.79666666663,0.0
Boerum Hill,59950.340000000004,0.0
Brooklyn,14327.419333333333,0.0
Brookville,17757.662,0.0
Bushwick South,26140.454999999998,10.0
Carroll Gardens,24337.39,0.0
Civic Center,37214.024,0.0
College Point,17159.37285714286,2.0
Columbia Street,24337.39,0.0
Crown Heights North,4036.298888888889,0.0
DUMBO,59950.340000000004,0.0
Downtown Brooklyn,59950.340000000004,0.0
East New York,48433.09333333333,15.0
East Williamsburg,13990.626363636366,0.0
Greenpoint,9753.649285714286,0.0
Hunters Point,23931.398933333334,0.0
Hunts Point,39246.016153846154,12.0
Little Italy,37214.024,0.0
Long Island City,61830.770625,0.0
Lower Manhattan,469890.79666666663,0.0
Manhattanville,2760.8888888888887,0.0
Maspeth,7828.552000000001,10.0
Mott Haven,17843.937857142857,10.0
Port Morris,17843.937857142857,10.0
Queensbridge,61830.770625,0.0
Ravenswood,61830.770625,0.0
Red Hook,24337.39,0.0
SoHo,37214.024,0.0
Springfield Gardens South,17757.662,0.0
Steinway,11227.155714285715,20.0
Sunnyside,23931.398933333334,0.0
Sunset Park West,14316.976875,0.0
TriBeCa,37214.024,0.0
Vinegar Hill,59950.340000000004,0.0
West Maspeth,23931.398933333334,0.0
cemetery,14327.419333333333,0.0
etc,14327.419333333333,0.0
park,14327.419333333333,0.0
